1  11 0x1
2  111 0x3
3  1011 0x3
4  10011 0x3
5  100101 0x5
6  1000011 0x3
7  10000011 0x3
8  100011101 0x1d
9  1000010001 0x11
10 10000001001 0x9
11 100000000101 0x5
12 1000001010011 0x53
13 10000000011011 0x1b
14 100000000101011 0x2b
15 1000000000000011 0x3
16 10000000000101101 0x2d
17 100000000000001001 0x9
18 1000000000010000001 0x81
19 10000000000000100111 0x27
20 100000000000000001001 0x9
21 1000000000000000000101 0x5
22 10000000000000000000011 0x3
23 100000000000000000100001 0x21
24 1000000000000000000011011 0x1b
25 10000000000000000000001001 0x9
26 100000000000000000001000111 0x47
27 1000000000000000000000100111 0x27
28 10000000000000000000000001001 0x9
29 100000000000000000000000000101 0x5
30 1000000000000000000000001010011 0x53
31 10000000000000000000000000001001 0x9
